lang_code,code,descr,is_active
eng,RPR_RUPV_SUC_SMS,Resident Update Packet Validation Success SMS,True
fra,RPR_RUPV_SUC_SMS,Resident Update Packet Validation Success SMS,True
eng,RPR_PPV_SUC_EMAIL,Re-print Packet Validation Success Email,True
fra,RPR_PPV_SUC_EMAIL,Re-print Packet Validation Success Email,True
eng,RPR_PPV_SUC_SMS,Re-print Packet Validation Success SMS,True
fra,RPR_PPV_SUC_SMS,Re-print Packet Validation Success SMS,True
eng,RPR_APV_SUC_EMAIL,Activate Packet Validation Success Email,True
fra,RPR_APV_SUC_EMAIL,Activate Packet Validation Success Email,True
eng,RPR_APV_SUC_SMS,Activate Packet Validation Success SMS,True
fra,RPR_APV_SUC_SMS,Activate Packet Validation Success SMS,True
eng,RPR_DPV_SUC_EMAIL,De-activate Packet Validation Success Email,True
fra,RPR_DPV_SUC_EMAIL,De-activate Packet Validation Success Email,True
eng,RPR_DPV_SUC_SMS,De-activate Packet Validation Success SMS,True
fra,RPR_DPV_SUC_SMS,De-activate Packet Validation Success SMS,True
eng,RPR_RPV_SUC_EMAIL_SUB,Registration Packet Validation Success Email Sub,True
fra,RPR_RPV_SUC_EMAIL_SUB,Registration Packet Validation Success Email Sub,True
eng,RPR_UPV_SUC_EMAIL_SUB,Update Packet Validation Success Email Sub,True
fra,RPR_UPV_SUC_EMAIL_SUB,Update Packet Validation Success Email Sub,True
eng,RPR_LPV_SUC_EMAIL_SUB,Lost Packet Validation Success Email Sub,True
fra,RPR_LPV_SUC_EMAIL_SUB,Lost Packet Validation Success Email Sub,True
eng,RPR_PPV_SUC_EMAIL_SUB,Re-print Packet Validation Success Email Sub,True
fra,RPR_PPV_SUC_EMAIL_SUB,Re-print Packet Validation Success Email Sub,True
eng,RPR_RUPV_SUC_EMAIL_SUB,Resident Update Packet Validation Success Email Sub,True
fra,RPR_RUPV_SUC_EMAIL_SUB,Resident Update Packet Validation Success Email Sub,True
eng,RPR_APV_SUC_EMAIL_SUB,Activate Packet Validation Success Email Sub,True
fra,RPR_APV_SUC_EMAIL_SUB,Activate Packet Validation Success Email Sub,True
eng,RPR_DPV_SUC_EMAIL_SUB,De-activate Packet Validation Success Email Sub,True
fra,RPR_DPV_SUC_EMAIL_SUB,De-activate Packet Validation Success Email Sub,True
eng,RS_CRE_REQ_SUCCESS_SMS,Credential Issuance Success SMS,True
fra,RS_CRE_REQ_SUCCESS_SMS,Credential Issuance Success SMS,True
eng,RS_CRE_REQ_SUCCESS_EMAIL,Credential Issuance Success EMAIL,True
fra,RS_CRE_REQ_SUCCESS_EMAIL,Credential Issuance Success EMAIL,True
eng,RS_CRE_REQ_SUCCESS_EMAIL_SUB,Credential Issuance Success EMAIL Subject,True
fra,RS_CRE_REQ_SUCCESS_EMAIL_SUB,Credential Issuance Success EMAIL Subject,True
eng,RS_CRE_STATUS_SMS,Credential Issuance Status Check SMS,True
fra,RS_CRE_STATUS_SMS,Credential Issuance Status Check SMS,True
eng,RS_CRE_STATUS_EMAIL,Credential Issuance Status Check EMAIL,True
fra,RS_CRE_STATUS_EMAIL,Credential Issuance Status Check EMAIL,True
eng,RS_CRE_STATUS_EMAIL_SUB,Credential Issuance Status Check EMAIL Subject,True
fra,RS_CRE_STATUS_EMAIL_SUB,Credential Issuance Status Check EMAIL Subject,True
eng,RS_CRE_CANCEL_SUCCESS_SMS,Credential Request Cancel Success SMS,True
fra,RS_CRE_CANCEL_SUCCESS_SMS,Credential Request Cancel Success SMS,True
eng,RS_CRE_CANCEL_SUCCESS_EMAIL,Credential Request Cancel Success EMAIL,True
fra,RS_CRE_CANCEL_SUCCESS_EMAIL,Credential Request Cancel Success EMAIL,True
eng,RS_CRE_CANCEL_SUCCESS_EMAIL_SUB,Credential Request Cancel Success EMAIL Subject,True
fra,RS_CRE_CANCEL_SUCCESS_EMAIL_SUB,Credential Request Cancel Success EMAIL Subject,True
eng,RS_CRE_REQ_FAILURE_SMS,Credential Issuance Failure SMS,True
fra,RS_CRE_REQ_FAILURE_SMS,Credential Issuance Failure SMS,True
eng,RS_CRE_REQ_FAILURE_EMAIL,Credential Issuance Failure EMAIL,True
fra,RS_CRE_REQ_FAILURE_EMAIL,Credential Issuance Failure EMAIL,True
eng,RS_CRE_REQ_FAILURE_EMAIL_SUB,Credential Issuance Failure EMAIL Subject,True
fra,RS_CRE_REQ_FAILURE_EMAIL_SUB,Credential Issuance Failure EMAIL Subject,True
eng,reg-ack-template-part,Registration Acknowledgement Template,True
fra,reg-ack-template-part,Modèle d'accusé de réception d'inscription,True
eng,reg-preview-template-part,Registration Preview Template,True
fra,reg-preview-template-part,Modèle d'aperçu d'inscription,True
eng,reg-dashboard-template,Dashboard Template,True
fra,reg-dashboard-template,Modèle de tableau de bord,True
