code,name,descr,lang_code,is_active,cr_by,cr_dtimes
DOC025,"Medical card issued by the State Govt, CGHS, ECHS and ESIC","Medical card issued by the State Government, CGHS, ECHS and also ESIC",eng,TRUE,superadmin,now()
DOC026,Canteen card of the Army,Canteen card of the Army,eng,TRUE,superadmin,now()
DOC027,Family entitlement document,Any family entitlement document issued by any Central or State Government,eng,TRUE,superadmin,now()
DOC028,Birth Certificate,Registrar of Birth/municipal Corporation or any local government Birth Certificate,eng,TRUE,superadmin,now()
DOC002,بطاقة PAN,بطاقة PAN,ara,TRUE,superadmin,now()
DOC003,بطاقة الصورة التموينية أو الحصة الخاصة,بطاقة الصورة التموينية أو الحصة الخاصة,ara,TRUE,superadmin,now()
DOC004,بطاقة هويه الناخب,بطاقة هويه الناخب,ara,TRUE,superadmin,now()
DOC005,رخصه القيادة لمقدم الطلب,رخصه القيادة لمقدم الطلب,ara,TRUE,superadmin,now()
DOC006,بطاقات هويه مصوره صادره عن الحكومة,بطاقات هويه مصوره صادره عن الحكومة,ara,TRUE,superadmin,now()
DOC007,خدمه بطاقات هويه الصورة التي يتم إصدارها من قبل الأمير سلطان,خدمه بطاقات هويه الصورة التي يتم إصدارها من قبل الأمير سلطان,ara,TRUE,superadmin,now()
DOC008,ترخيص الاسلحه,ترخيص الاسلحه,ara,TRUE,superadmin,now()
DOC009,بطاقة الصراف الألى من بنك الصور,بطاقة الصراف الألى من بنك الصور,ara,TRUE,superadmin,now()
DOC010,بطاقة الصور الائتمانية,بطاقة الصور الائتمانية,ara,TRUE,superadmin,now()
DOC011,صوره بطاقة من الحرية مقاتله,صوره بطاقة من الحرية مقاتله,ara,TRUE,superadmin,now()
DOC012,شهادة الزواج,شهادة الزواج,ara,TRUE,superadmin,now()
DOC013,دفتر أو كشف حساب بنكي,دفتر أو كشف حساب بنكي,ara,TRUE,superadmin,now()
DOC014,كشف حساب أو دفتر بيانات مكتب البريد,كشف حساب أو دفتر بيانات مكتب البريد,ara,TRUE,superadmin,now()
DOC015,البطاقة التموينية,البطاقة التموينية,ara,TRUE,superadmin,now()
DOC016,أصدرت الهيئة بطاقة هويه صوره الخدمة مع عنوان,أصدرت الهيئة بطاقة هويه صوره الخدمة مع عنوان,ara,TRUE,superadmin,now()
DOC017,فاتورة كهرباء لمده 3 أشهر سابقه,فاتورة كهرباء لمده 3 أشهر سابقه,ara,TRUE,superadmin,now()
DOC018,فاتورة المياه طالما انها ليست أكثر من 3 أشهر من العمر,فاتورة المياه طالما انها ليست أكثر من 3 أشهر من العمر,ara,TRUE,superadmin,now()
DOC024,بطاقة الهوية الخاصة,بطاقة الهوية الخاصة,ara,TRUE,superadmin,now()
DOC025,البطاقة الطبية الصادرة عن حكومة الولاية و CGHS و ECHS و ESIC,البطاقة الطبية الصادرة عن حكومة الولاية و CGHS و ECHS و ESIC أيضا,ara,TRUE,superadmin,now()
DOC026,بطاقة المقصف للجيش,بطاقة المقصف للجيش,ara,TRUE,superadmin,now()
DOC027,وثيقة استحقاق الأسرة,اي وثيقة استحقاق عائلي صادره عن اي حكومة مركزيه أو حكوميه,ara,TRUE,superadmin,now()
DOC028,شهادة الميلاد,مسجل الميلاد/مؤسسه البلدية أو اي شهادة ميلاد حكوميه محليه,ara,TRUE,superadmin,now()
DOC002,Carte PAN,Carte PAN,fra,TRUE,superadmin,now()
DOC003,Soit ration ou PDS photo carte,Soit ration ou PDS photo carte,fra,TRUE,superadmin,now()
DOC004,Carte d’identification des électeurs,Carte d’identification des électeurs,fra,TRUE,superadmin,now()
DOC005,Permis de conduire du demandeur,Permis de conduire du demandeur,fra,TRUE,superadmin,now()
DOC006,Cartes d’identité photo émises par le gouvernement,Cartes d’identité photo émises par le gouvernement,fra,TRUE,superadmin,now()
DOC007,Cartes d’identité de service de photo émises par un PSU,Cartes d’identité de service de photo émises par un PSU,fra,TRUE,superadmin,now()
DOC008,Licence d’armes,Licence d’armes,fra,TRUE,superadmin,now()
DOC009,Photo banque carte bancaire,Photo banque carte bancaire,fra,TRUE,superadmin,now()
DOC010,Carte de crédit photo,Carte de crédit photo,fra,TRUE,superadmin,now()
DOC011,Carte photo du Freedom Fighter,Carte photo du Freedom Fighter,fra,TRUE,superadmin,now()
DOC012,Certificat de mariage,Certificat de mariage,fra,TRUE,superadmin,now()
DOC013,Livret ou relevé bancaire,Livret ou relevé bancaire,fra,TRUE,superadmin,now()
DOC014,Relevé de compte ou livret du Bureau de poste,Relevé de compte ou livret du Bureau de poste,fra,TRUE,superadmin,now()
DOC015,Carte de ration,Carte de ration,fra,TRUE,superadmin,now()
DOC016,PSU a émis la carte didentité de photo de service avec ladresse,PSU a émis la carte d’identité de photo de service avec l’adresse,fra,TRUE,superadmin,now()
DOC017,Facture d’électricité précédente de 3 mois,Facture d’électricité précédente de 3 mois,fra,TRUE,superadmin,now()
DOC018,Facture d’eau tant qu’elle n’a pas plus de 3 mois,Facture d’eau tant qu’elle n’a pas plus de 3 mois,fra,TRUE,superadmin,now()
DOC024,Carte PDS,Carte PDS,fra,TRUE,superadmin,now()
DOC025,Carte médicale délivrée par le govt de l'État,"Carte médicale délivrée par le gouvernement de l’État, le CGHS, l’ECHS et également l’ESIC",fra,TRUE,superadmin,now()
DOC026,Carte de cantine de l’armée,Carte de cantine de l’armée,fra,TRUE,superadmin,now()
DOC027,Titre de droit familial,Tout document de droit de la famille délivré par un gouvernement central ou,fra,TRUE,superadmin,now()
DOC028,Certificat de naissance,Registraire de naissance/municipalité ou tout acte de naissance du gouvernement local,fra,TRUE,superadmin,now()
